index,Age Group,Gender,College Name,Degree ,Subject,Percent_10,Favorite_Subject_10,Marks_10,Percent_12,Favorite_Subject_12,Marks_12,CGPA,co-curricular activity,profession,preffed sector,Expected_salary,Age,Financially constrained,Family_income,Parent's occupation,Spending,parents_influence,friend_influence,mentor_influence,social_expectations,social_media_influence,personal_choice
137,20 - 22,f,acharya jagadish chandra bose college,b.sc / bs,mathematics,85.0,bengali,85.0,85.0,bengali,94.0,6.0,singing ,researcher,it secrtor,9.0,25.0,maybe,3 -  7  lakhs,Private Job,4.5,5,4,5,1,5,5
138,20 - 22,m,acharya jagadish chandra bose college,b.sc / bs,mathematics,75.0,science,80.0,85.0,biology,86.0,7.0,,data analyst,government/public sector,10.0,25.0,yes,7 - 10 lakhs,Business,4.0,5,1,1,5,1,3
139,18 - 20,f,jadavpur university,b.sc / bs,mathematics,85.0,mathematics,99.0,85.0,mathematics,99.0,8.0,no,banker,government/public sector,10.0,25.0,no,3 -  7  lakhs,Finance,2.0,5,5,5,1,4,5
140,22 - 25,f,scottish church college,b.sc / bs,mathematics,95.0,mathematics,99.0,95.0,mathematics,100.0,7.0,"dancing, recitation, drawing ",researcher,it secrtor,15.0,25.0,maybe,3 -  7  lakhs,Government Job,5.0,2,2,4,1,3,4
141,18 - 20,m,netaji subhash engineering college,b tech.,mathematics,95.0,,,85.0,,,7.0,yes,software development engineer,it secrtor,5.5,30.0,yes,below 3 lakhs,Government Job,,5,3,3,5,4,3
142,22 - 25,m,institute of business management,mba,finance,85.0,science,95.0,55.0,biology,75.0,0.0,na,entrepreneurship,government/public sector,7.5,30.0,no,3 -  7  lakhs,Retired,4.0,5,5,5,1,2,5
143,18 - 20,f,kusum devi sunderlal dugar jain dental college,bds,,95.0,biology,94.0,85.0,biology,80.0,0.0,dance,doctor,government/public sector,4.2,27.0,maybe,3 -  7  lakhs,Business,15.0,5,4,4,3,5,5
144,20 - 22,m,vijaygarh jyotish ray college,msc / ms,microbiology,95.0,science,93.0,85.0,chemistry,75.0,8.0,event management & speaker,professor,academia/education,10.0,28.0,no,3 -  7  lakhs,Business,3.5,1,1,4,2,1,4
145,18 - 20,f,tara devi harakh chand kankaria jain college,b.sc / bs,microbiology,95.0,biology,100.0,95.0,psychology,100.0,8.0,,forensic microbiologist,government/public sector,2.0,24.5,yes,7 - 10 lakhs,Private Job,1.5,5,1,5,4,2,5
146,18 - 20,m,st pauls cathedral mission college,b.sc / bs,microbiology,85.0,mathematics,96.0,95.0,math,85.0,6.0,football,microbiologist,govt. sector,6.0,24.0,no,3 -  7  lakhs,Government Job,1.0,1,1,2,5,1,4
147,20 - 22,m,gurudas college,b.sc / bs,microbiology,85.0,history,82.0,75.0,biology,80.0,6.0,,microbiologist,government/public sector,3.5,40.0,no,below 3 lakhs,Business,20.0,5,1,5,5,5,5
148,18 - 20,f,gurudas college,b.sc / bs,microbiology,85.0,biology,90.0,85.0,biology,86.0,0.0,"yes, drawing",researcher,government/public sector,6.0,0.0,yes,3 -  7  lakhs,Health Sector,1.0,5,1,3,1,5,5
149,18 - 20,f,tara devi harakh chand kankaria jain college,b.sc / bs,microbiology,85.0,biology,97.0,85.0,biology,90.0,6.0,karate,professor,government/public sector,3.0,26.0,no,3 -  7  lakhs,Finance,,2,1,5,1,1,5
150,18 - 20,m,govt college of engineering and leather technology,b tech.,,95.0,mathematics,97.0,85.0,mathematics,93.0,0.0,"painting, debate, recitation, athletics",software development engineer,it secrtor,7.0,25.0,no,3 -  7  lakhs,Retired,5.0,3,2,3,4,2,4
152,18 - 20,m,techno international,b tech.,,95.0,physics ,,75.0,,,1.0,no,artificial intelligence,corporate/private sector,4.0,23.0,maybe,3 -  7  lakhs,Business,20.0,4,3,4,5,3,2
153,22 - 25,m,adamas university,b.sc / bs,pharmacology,85.0,mathematics,92.0,85.0,,,9.0,karate,pharmacist,government/public sector,11.0,26.0,no,7 - 10 lakhs,Government Job,15.0,4,2,5,3,4,5
